year,hot_35_win_25,rainfall_win_25,rain_season_win_25,tmax_win_25,tmin_win_25,tmean_win_25,solar_win_6,hot_win_10,hot_win_5,hot_win_20,rain_season_win_5,rain_season_win_10,driest_5,dry_5,dro,rainfall_total,driest_total,tmean_total,hot_total
1996,4.416666667,1053.176,1.2997175,27.23708188,17.01351021,22.12529605,19.80796919,5.9,6.4,4.789473684,1.122613468,1.238190834,48.9,216.22,225.2,845.3,23.7,22.3,4
1997,4.375,1037.684,1.291596085,27.19108079,16.99810452,22.09459265,19.98439932,5.1,5.2,4.736842105,1.188967078,1.292133419,45.04,218.72,231.6,1085.2,26.9,21.6,1
1998,4.291666667,1026.364,1.28329711,27.24198421,17.08116552,22.16157487,20.03032158,4.9,4.6,4.473684211,1.207969174,1.255952713,39.74,253.5,231.4,927.3,25.5,23,0
1999,4.208333333,1010.204,1.266882016,27.21001007,17.05464307,22.13232657,19.8913482,4.9,2.2,4.315789474,1.180089505,1.284203754,44.68,271.94,224.8,1346.5,63.7,21.95,0
2000,4.166666667,1027.196,1.298102571,27.19329421,17.07004624,22.13167022,19.88164923,4.1,1.6,4.210526316,1.294069746,1.302178648,28.78,270.94,228.6,1578.1,4.1,21.95,3
2001,4.208333333,1015.492,1.32136296,27.23200977,17.0444372,22.13822349,20.06299489,4.2,2,4.473684211,1.479132858,1.300873163,25.68,223.56,230.6,877.2,8.2,22.3,6
2002,4.416666667,977.876,1.327730273,27.27718518,17.03096127,22.15407323,20.23763091,4.2,3.2,4.526315789,1.5322696,1.360618339,26.96,202.56,237.6,470.2,33.3,22.4,7
2003,4.583333333,979.368,1.331526258,27.32489707,17.05162364,22.18826035,20.24471219,4.8,5,4.947368421,1.565236933,1.386603054,24.88,152.78,242.6,862,15.1,22.5,9
2004,4.583333333,971.888,1.309724698,27.32200941,17.04430289,22.18315615,20.24864788,3.9,5.6,4.947368421,1.5913892,1.385739352,15.54,134.12,242.8,1270.8,17,22.1,3
2005,4.583333333,974.14,1.306264639,27.35153523,17.05597035,22.20375279,20.2657034,3.8,6,4.894736842,1.449524506,1.371797126,31.02,134.5,244.4,817.2,81.5,22.5,5
2006,4.791666667,950.128,1.301698804,27.31725481,17.05729854,22.18727668,20.53593457,4,6,4.736842105,1.333401137,1.406266997,40.42,173.8,240,962.9,55.2,21.95,6
2007,4.625,950.072,1.304192172,27.32576433,17.03833528,22.18204981,20.66935804,4.1,5,4.736842105,1.237299682,1.384784641,37.64,190.4,237,707.7,19.4,22.2,2
2008,4.75,981.596,1.317147551,27.34417731,17.08595131,22.21506431,20.63183752,4.5,4,4.947368421,1.255672489,1.410454711,45.64,218.62,234.8,1649.8,55.1,22.2,4
2009,4.833333333,988.012,1.331270484,27.36361883,17.05246342,22.20804113,20.49013988,5,4.4,4.631578947,1.322428212,1.456908706,42.76,212.84,240.4,951.6,2.6,22.3,5
2010,4.583333333,1001.8,1.342186695,27.36840658,17.10920287,22.23880472,20.28332642,4.7,3.4,4.368421053,1.34508878,1.397306643,34.94,235.66,231.8,1410.3,42.4,23.1,0
2011,4.458333333,1012.952,1.337381757,27.36534642,17.09470747,22.23002695,20.20657496,4.7,3.4,4.315789474,1.397993121,1.365697129,25.64,189.56,236.2,1211,8.7,21.85,6
2012,4.625,1014.604,1.351613065,27.37579097,17.08880047,22.23229572,20.37482383,4.6,4.2,4.473684211,1.404229203,1.320764442,27,196.98,236.6,902.1,26.2,22.15,6
2013,4.958333333,1021.912,1.347527087,27.41749506,17.05782117,22.23765811,20.35680288,4.5,5,4.263157895,1.404820589,1.330246539,21.42,213.42,231.2,963.3,27.2,22.55,8
2014,4.75,995.348,1.363942684,27.42217535,17.01174988,22.21696262,20.39277156,4.8,5.2,4.263157895,1.337488503,1.329958358,24.5,245.28,223.8,746.7,18,22.15,6
2015,4.916666667,990.468,1.350952362,27.4763633,17.01612287,22.24624309,20.4016499,5.2,7,4.526315789,1.355791227,1.350440003,18.24,205.68,226.4,1003.2,11.1,22.65,9
2016,5.291666667,964.072,1.325664741,27.54215342,17.06686205,22.30450773,20.37900688,6.2,9,5.315789474,1.29518312,1.346588121,25.18,217.84,218.6,541.9,43.4,23.55,16
